date,time,category,title,branch,link
2014-08-19,20:10:06,flood,1973 Saint John River Flood,Environment Canada,http://en.wikipedia.org/w/index.php?diff=621961010&oldid=392181499
2014-08-19,20:21:23,flood,1973 Saint John River Flood,Environment Canada,http://en.wikipedia.org/w/index.php?diff=621962580&oldid=621961010
2014-10-06,09:34:09,math,80 (nombre),Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=108001101&oldid=106719594&rcid=126992624
2014-07-14,18:06:12,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=616942063&oldid=616709271
2014-12-09,19:29:57,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637361816&oldid=635085148
2014-12-09,19:35:02,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637362541&oldid=637361816
2014-12-09,19:36:05,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637362711&oldid=637362541
2014-12-09,19:37:04,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637362835&oldid=637362711
2014-11-18,19:26:14,theory,Air pollution,Environment Canada,http://en.wikipedia.org/w/index.php?diff=634417061&oldid=634401335
2014-12-10,22:46:38,theory,Algue,Department of Fisheries and Oceans,http://fr.wikipedia.org/w/index.php?diff=109849940&oldid=109033223&rcid=131163009
2014-12-10,22:46:38,theory,Algue,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=109849940&oldid=109033223&rcid=131163009
2014-08-06,19:36:27,science object,Amoeba Culture,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620133793&oldid=619980111
2014-09-18,19:36:54,science object,Amoeba Culture,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=626123248&oldid=624018430
2014-08-01,19:42:14,medicine,Anemia,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619462578&oldid=619394933
2014-10-03,19:35:51,theory,Autoregressive conditional heteroskedasticity,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=628121658&oldid=625825395
2014-10-03,19:36:47,theory,Autoregressive conditional heteroskedasticity,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=628121766&oldid=628121658
2014-08-15,14:08:45,science object,Bean,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=621354440&oldid=619214783
2014-08-06,13:26:12,animal,Bull shark,Library and Archives Canada,http://en.wikipedia.org/w/index.php?diff=620091188&oldid=617280649
2014-11-13,18:10:42,theory,Capteur à effet Hall,Canadian Department of National Defence,http://fr.wikipedia.org/w/index.php?diff=109093545&oldid=107824547&rcid=129538976
2014-10-07,07:26:56,theory,Central sleep apnea,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=628599834&oldid=622286036
2014-11-24,18:34:10,science object,Cinnabar,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=635270286&oldid=625957822
2015-02-21,15:34:01,theory,Climat des Hautes-Pyrénées,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112058480&oldid=110035618&rcid=135986986
2014-08-29,19:12:29,theory,Closed system,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=623348647&oldid=616937263
2014-12-17,16:05:43,theory,Coeur du courant-jet,Environment Canada,http://fr.wikipedia.org/w/index.php?oldid=110034499&rcid=131612077
2014-08-06,16:35:15,math,Coin flipping,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620112741&oldid=619593042
2014-12-09,19:55:33,theory,Context-based model of minimal coun,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637365434&oldid=630367281
2014-12-09,19:57:15,theory,Context-based model of minimal coun,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637365683&oldid=637365434
2014-12-09,19:58:49,theory,Context-based model of minimal coun,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637365949&oldid=637365683
2014-12-29,13:17:54,theory,Context-based model of minimal coun,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=640088364&oldid=637365949
2014-09-17,13:14:14,math,Crombie REIT,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=625942171&oldid=605165823
2014-11-04,21:12:08,theory,Crue de projet,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=108847203&oldid=108317630&rcid=128838898
2014-11-04,21:12:48,theory,Crue nominale,Environment Canada,http://fr.wikipedia.org/w/index.php?oldid=108847225&rcid=128838920
2014-11-04,21:13:20,theory,Crue type,Environment Canada,http://fr.wikipedia.org/w/index.php?oldid=108847238&rcid=128838933
2014-10-16,19:28:25,theory,Cyclone Hudhud,Environment Canada,http://en.wikipedia.org/w/index.php?diff=629890573&oldid=629889455
2014-09-30,07:42:39,theory,Denial,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=627651164&oldid=626835040
2014-12-17,22:33:11,theory,Digitation visqueuse,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046127&oldid=97625997&rcid=131637171
2014-12-04,15:02:55,science object,Dmanisi skull,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=636612869&oldid=636257422
2014-12-04,15:04:53,science object,Dmanisi skull,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=636613107&oldid=636612869
2015-01-27,15:21:02,scientist,Duncan McNab McEachran,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=644414220&oldid=638267436
2014-08-18,14:48:54,animal,Eastern wolf,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621778952&oldid=616135152
2014-08-18,14:51:15,animal,Eastern wolf,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621779183&oldid=621778952
2014-08-18,14:51:57,animal,Eastern wolf,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621779245&oldid=621779183
2014-08-13,12:30:55,animal,English Springer Spaniel,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621052815&oldid=606739213
2014-10-01,14:19:30,theory,Escitalopram,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=627818333&oldid=626737719
2014-10-30,19:12:06,theory,Forêt humide,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=108678966&oldid=96885856&rcid=128401977
2014-11-04,20:31:33,meteorology,Glossaire de la météorologie,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=108846109&oldid=108817631&rcid=128837317
2014-12-21,23:00:01,meteorology,Glossaire de la météorologie,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110148740&oldid=108948949&rcid=131875989
2014-12-21,23:01:43,meteorology,Glossaire de la météorologie,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110148786&oldid=110148740&rcid=131876056
2015-03-01,18:07:30,flood,Grande inondation de 1862,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112321936&oldid=112302713&rcid=136562626
2014-09-04,13:51:51,meteorology,GRIB,Environment Canada,http://en.wikipedia.org/w/index.php?diff=624158381&oldid=599336367
2014-10-08,15:03:24,medicine,Grippe,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=108061778&oldid=107280770&rcid=127112463
2014-11-14,20:50:27,medicine,Grippe,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=109127322&oldid=108438197&rcid=129621417
2014-09-04,22:25:56,science object,Harmonic oscillator,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=624215530&oldid=623953497
2014-09-04,22:26:59,science object,Harmonic oscillator,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=624215635&oldid=624215530
2014-12-04,13:50:11,theory,Homeopathic dilutions,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=636604952&oldid=635647551
2014-12-15,15:02:37,theory,Hypercapnia,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=638218749&oldid=637868813
2014-12-17,22:27:39,theory,Instabilité,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046001&oldid=102523915&rcid=131636816
2014-12-17,22:32:27,theory,Instabilité électrothermique,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046108&oldid=109753700&rcid=131637130
2014-12-17,22:33:41,theory,Instabilité de Faraday,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046139&oldid=62749471&rcid=131637200
2014-12-17,22:34:06,theory,Instabilité de Kelvin-Helmholtz,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046149&oldid=96696394&rcid=131637223
2014-12-17,22:34:30,theory,Instabilité de Plateau-Rayleigh,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046158&oldid=98121494&rcid=131637245
2014-12-17,22:35:06,theory,Instabilité de Rayleigh-Taylor,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046178&oldid=104614654&rcid=131637289
2014-12-17,22:35:51,theory,Instabilité de Richtmyer-Meshkov,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046200&oldid=90840807&rcid=131637332
2014-12-17,22:36:30,theory,Instabilité de Taylor-Couette,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046213&oldid=90392198&rcid=131637364
2014-12-17,22:38:34,theory,Instabilité géométrique,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046301&oldid=107793740&rcid=131637514
2014-12-17,22:37:23,theory,Instabilité gravitaire,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046235&oldid=102167888&rcid=131637413
2014-12-17,22:37:56,theory,Instabilité gravitationnelle,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046281&oldid=98690513&rcid=131637462
2014-12-17,22:05:53,theory,Instability,Environment Canada,http://en.wikipedia.org/w/index.php?diff=638556264&oldid=631952616
2014-10-16,17:48:25,science place,Institut suédois de météorologie et d'hydrologie,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=108280600&oldid=108256471&rcid=127618989
2014-11-04,06:24:56,scientist,Ivan Stojmenović,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=632385245&oldid=632379116
2014-12-17,16:07:23,air,Jet streak,Environment Canada,http://fr.wikipedia.org/w/index.php?oldid=110034528&rcid=131612152
2014-10-16,19:31:11,environment,King City weather radar station,Environment Canada,http://en.wikipedia.org/w/index.php?diff=629890995&oldid=627673913
2014-09-11,15:20:44,product,Light crude oil,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=625101319&oldid=601294223
2015-02-26,21:20:40,animal,List of bears,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=648993907&oldid=648699397
2014-08-21,18:53:20,theory,List of waterfalls by type,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=622233299&oldid=612451306
2015-02-21,15:29:59,space,Luna 5,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112058303&oldid=111627959&rcid=135986642
2014-11-18,20:56:40,scientist,Milton Friedman,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=634429165&oldid=634383546
2015-01-06,16:25:55,math,Modus tollens,Shared Services Canada,http://uk.wikipedia.org/w/index.php?diff=15390581&oldid=15332195
2014-12-15,17:43:24,space,Moon landing,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=638237921&oldid=638216784
2014-10-10,18:41:55,theory,Multilinear principal component analysis,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=629086262&oldid=592599457
2014-10-03,19:47:20,theory,Multivariate adaptive regression splines,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=628122828&oldid=627800967
2014-09-05,18:09:39,space,NanoRacks CubeSat Deployer,Canadian Space Agency,http://en.wikipedia.org/w/index.php?diff=624316965&oldid=623557964
2015-01-06,20:17:29,theory,Nerium,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=641291802&oldid=641232121
2015-01-12,17:14:51,scientist,Nicolas Leblanc,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=642178450&oldid=635874664
2014-12-10,13:58:03,technology,NIST RBAC model,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=637473991&oldid=626495227
2014-10-03,19:02:18,theory,Nonlinear autoregressive exogenous model,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=628118103&oldid=583392930
2014-12-22,21:18:51,theory,Nuage,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110172769&oldid=109025570&rcid=131934485
2015-03-01,18:36:04,theory,Nuage noctulescent,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112322648&oldid=111122396&rcid=136564184
2015-03-01,18:39:26,theory,Nuage noctulescent,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112322741&oldid=112322648&rcid=136564364
2015-03-01,18:56:55,theory,Nuage noctulescent,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112323169&oldid=112322741&rcid=136565752
2015-03-01,19:00:15,theory,Nuage noctulescent,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112323266&oldid=112323169&rcid=136566049
2014-12-02,16:22:17,scientist,Pierre-Simon Laplace,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=636331467&oldid=636036833
2014-11-07,17:42:51,meteorology,Pileus (meteorology),Environment Canada,http://en.wikipedia.org/w/index.php?diff=632850788&oldid=583387018
2014-11-12,18:00:22,science object,Polar Satellite Launch Vehicle,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=633553034&oldid=632129971
2014-11-21,16:51:26,theory,Polemonium vanbruntiae,Environment Canada,http://en.wikipedia.org/w/index.php?diff=634850893&oldid=566179325
2014-12-21,01:26:26,science event,Pox party,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=638986259&oldid=627856855
2014-12-21,01:27:28,science event,Pox party,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=638986367&oldid=638986259
2014-12-21,01:27:52,science event,Pox party,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=638986404&oldid=638986367
2014-10-12,20:54:03,theory,Preso de conciencia,Shared Services Canada,http://es.wikipedia.org/w/index.php?diff=77504329&oldid=76594277
2014-10-12,20:57:05,theory,Preso de conciencia,Shared Services Canada,http://es.wikipedia.org/w/index.php?diff=77504385&oldid=77504329
2015-03-06,04:55:13,theory,Pression de vapeur saturante de l'eau,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112470717&oldid=112465058&rcid=136876637
2014-09-23,14:23:32,theory,Pseudo-nitzschia,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=626767309&oldid=614356313
2014-09-07,15:14:34,science object,Q13297392,Environment Canada,http://www.wikidata.org/w/index.php?diff=156187924&oldid=80865032&rcid=156620627
2015-02-20,02:19:12,science object,Q19323444,Shared Services Canada,http://www.wikidata.org/w/index.php?oldid=197949266&rcid=198486876
2015-01-20,15:53:05,science object,Q2819039,Shared Services Canada,http://www.wikidata.org/w/index.php?diff=189256173&oldid=3963484&rcid=189759833
2015-01-27,18:13:48,science object,Q4960350,Shared Services Canada,http://www.wikidata.org/w/index.php?diff=191607736&oldid=7064734&rcid=192122396
2014-11-30,09:37:12,science object,Q5175704,Environment Canada,http://www.wikidata.org/w/index.php?diff=178066140&oldid=132828493&rcid=178529807
2015-01-22,15:48:52,science object,Q5513012,Shared Services Canada,http://www.wikidata.org/w/index.php?diff=189816909&oldid=110202575&rcid=190320346
2014-12-20,20:46:18,science object,Q6712086,Environment Canada,http://www.wikidata.org/w/index.php?diff=182390683&oldid=179500070&rcid=182856768
2014-08-26,13:57:24,science object,Q6725965,Shared Services Canada,http://www.wikidata.org/w/index.php?diff=153520379&oldid=10868985&rcid=153952273
2014-09-07,15:15:36,science object,Q8858140,Environment Canada,http://www.wikidata.org/w/index.php?diff=156187973&oldid=100965364&rcid=156620678
2014-12-31,14:12:25,science object,Q910548,Shared Services Canada,http://www.wikidata.org/w/index.php?diff=185054180&oldid=121728360&rcid=185527248
2014-10-01,13:42:06,scientist,Ralph A. Lewin,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=627814080&oldid=603353219
2014-08-29,19:32:41,scientist,Richard Dawkins,Industry Canada,http://en.wikipedia.org/w/index.php?diff=623351120&oldid=622900838
2014-09-03,16:22:29,scientist,Richard Dawkins,Industry Canada,http://en.wikipedia.org/w/index.php?diff=624030060&oldid=623959986
2015-02-20,12:27:26,theory,Rivière atmosphérique,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112023597&oldid=112021029&rcid=135897580
2015-02-20,23:06:21,theory,Rivière atmosphérique,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112041346&oldid=112024150&rcid=135938775
2014-12-20,19:42:55,scientist,Robert Simpson,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110117285&oldid=93752857&rcid=131799638
2014-12-20,19:45:01,scientist,Robert Simpson,Environment Canada,http://en.wikipedia.org/w/index.php?diff=638945767&oldid=634201733
2014-12-20,16:12:54,scientist,Robert Simpson (météorologue),Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110111740&oldid=110110042&rcid=131790329
2015-02-17,17:16:18,geographic place,Rotten and pocket boroughs,Department of Justice Canada,http://en.wikipedia.org/w/index.php?diff=647575951&oldid=637052007
2015-02-17,17:17:38,geographic place,Rotten and pocket boroughs,Department of Justice Canada,http://en.wikipedia.org/w/index.php?diff=647576127&oldid=647575951
2014-11-19,17:24:09,theory,Salmonella bongori,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=634564141&oldid=621913691
2014-09-05,20:52:51,scientist,Samuel Andrews (chemist),Canadian Broadcasting Corporation,http://en.wikipedia.org/w/index.php?diff=624334799&oldid=623373368
2015-02-27,17:21:39,science object,SDSS J0100+2802,Department of Justice Canada,http://en.wikipedia.org/w/index.php?diff=649111100&oldid=649093851
2014-11-14,16:55:27,math,Securities research,Industry Canada,http://en.wikipedia.org/w/index.php?diff=633828694&oldid=626382386
2014-07-23,16:15:14,math,Shadow price,Department of Fisheries and Oceans,http://en.wikipedia.org/w/index.php?diff=618141620&oldid=617384822
2014-08-14,15:12:11,theory,Sociology,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621220724&oldid=619758533
2014-08-14,15:27:19,theory,Sociology,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621222502&oldid=621220724
2015-01-20,13:38:58,theory,Spina bifida,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=643368584&oldid=642860053
2015-03-06,09:27:29,math,Station model,Environment Canada,http://en.wikipedia.org/w/index.php?diff=650123135&oldid=639168825
2014-08-06,17:19:41,theory,Subjectivism,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620117950&oldid=589030643
2014-08-06,17:20:36,theory,Subjectivism,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620118075&oldid=620117950
2014-08-13,14:51:45,animal,Tautogolabrus adspersus,Department of Fisheries and Oceans,http://fr.wikipedia.org/w/index.php?diff=106234873&oldid=90239532&rcid=123747475
2014-08-13,14:51:45,animal,Tautogolabrus adspersus,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=106234873&oldid=90239532&rcid=123747475
2014-12-09,19:42:20,theory,The Minimal Counterintuitiveness Ef,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637363553&oldid=619133275
2014-12-09,19:43:09,theory,The Minimal Counterintuitiveness Ef,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637363673&oldid=637363553
2014-09-09,12:32:57,science object,Thermomètre,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=107283540&oldid=106916080&rcid=125533370
2015-02-27,16:42:31,theory,Toluene,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=649106694&oldid=647896398
2014-11-09,11:32:09,theory,Tour convective,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=108971053&oldid=108955757&rcid=129212051
2014-12-17,21:55:51,science place,Trauma center,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=638554906&oldid=633683289
2014-08-01,15:26:02,animal,Trichuriasis,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619434193&oldid=618607421
2014-07-23,17:50:55,math,Trigonométrie sphérique,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=105665319&oldid=100538998&rcid=122666746
2015-01-06,18:33:57,theory,Tropical and subtropical dry broadleaf forests,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=641276791&oldid=641276197
2015-01-06,18:34:30,theory,Tropical and subtropical dry broadleaf forests,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=641276852&oldid=641276791
2015-02-20,15:44:26,theory,Vaccinium vitis-idaea,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=648051669&oldid=646922245
2014-10-21,22:09:01,company,Valeant Pharmaceuticals,Environment Canada,http://en.wikipedia.org/w/index.php?diff=630575249&oldid=628670703
2015-01-13,20:34:21,animal,Wagyu,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=642355556&oldid=642293368
2015-01-13,20:38:53,animal,Wagyu,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=642356161&oldid=642355556
2014-08-26,14:12:01,theory,Watt,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=622886923&oldid=622556036
2014-11-10,15:45:41,organisation,Workplace Hazardous Materials Information System,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=633240882&oldid=627457542
2014-11-10,15:50:04,organisation,Workplace Hazardous Materials Information System,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=633241454&oldid=633240882
2014-11-10,16:04:53,organisation,Workplace Hazardous Materials Information System,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=633243371&oldid=633241454
2014-10-20,13:31:08,medicine,Xylitol,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=630372252&oldid=629593210
