coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Mar 03 18:28:18 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649720802&oldid=649720662,0,572825842096717824,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Chiac Wikipedia article edited anonymously from Shared Services Canada http://t.co/BisnSvriVE,https://twitter.com/gccaedits/status/572825842096717824,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 18:26:59 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649720662&oldid=649720520,0,572825511015149568,,,,en,,False,1,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Chiac Wikipedia article edited anonymously from Shared Services Canada http://t.co/ToQGZbyfDY,https://twitter.com/gccaedits/status/572825511015149568,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 18:25:28 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649720520&oldid=649720463,0,572825129358655488,,,,en,,False,1,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Chiac Wikipedia article edited anonymously from Shared Services Canada http://t.co/QTqlBtm0IN,https://twitter.com/gccaedits/status/572825129358655488,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 18:24:59 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649720463&oldid=649720045,0,572825007790936065,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Chiac Wikipedia article edited anonymously from Shared Services Canada http://t.co/WtAUPqhrfD,https://twitter.com/gccaedits/status/572825007790936065,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 18:21:19 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649720045&oldid=649719827,0,572824087715811328,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Chiac Wikipedia article edited anonymously from Shared Services Canada http://t.co/vKaSQo6PND,https://twitter.com/gccaedits/status/572824087715811328,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 18:19:29 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649719827&oldid=649719709,0,572823627088990208,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Chiac Wikipedia article edited anonymously from Shared Services Canada http://t.co/S8zN68lkU6,https://twitter.com/gccaedits/status/572823627088990208,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 18:18:32 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649719709&oldid=649718183,0,572823388009447425,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Chiac Wikipedia article edited anonymously from Shared Services Canada http://t.co/Z2OLxB8Ggd,https://twitter.com/gccaedits/status/572823388009447425,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 18:07:19 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649718183&oldid=638688978,0,572820562491387904,,,,en,,False,1,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Chiac Wikipedia article edited anonymously from Shared Services Canada http://t.co/9fBjPjWXRN,https://twitter.com/gccaedits/status/572820562491387904,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 17:37:53 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,0,572813156298301440,,,,en,,False,8,572800298953011200,PatOndabak,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PatOndabak: Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gcc…",https://twitter.com/KimLSteel/status/572813156298301440,Wed Oct 30 21:06:50 +0000 2013,KimLSteel,False,"Feminist, Environmentalist, Idealist, Progressive, Atheist.",1761,99,264,11,On Stolen Land (Canada),Kim Steel,KimLSteel,1738,Mountain Time (US & Canada),,False
,Tue Mar 03 17:10:57 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,0,572806377137049600,,,,en,,False,8,572800298953011200,PatOndabak,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PatOndabak: Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gcc…",https://twitter.com/authorsrgen/status/572806377137049600,Tue Oct 21 17:37:51 +0000 2014,authorsrgen,False,"Author, Teacher, Vice-Principal, Principal, Director of Education, First Nation Educator, Animal Lover, Advocate for Children, Earth, Be kind to others",3239,676,881,35,"Ontario, Canada",G Steve General,authorsrgen,7064,Eastern Time (US & Canada),,False
,Tue Mar 03 17:02:30 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,0,572804250302062592,,,,en,,False,8,572800298953011200,PatOndabak,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PatOndabak: Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gcc…",https://twitter.com/chuddles11/status/572804250302062592,Sat Mar 03 23:53:46 +0000 2012,chuddles11,False,"Retired editor providing an alternative to MSM, a grassroots news service covering Indigenous, environmental, political and cultural stories, opinions & events",399,6789,6698,320,Toronto,Christine Huddleston,chuddles11,314711,,,False
,Tue Mar 03 17:00:38 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,0,572803780753952769,,,,en,,False,8,572800298953011200,PatOndabak,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PatOndabak: Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gcc…",https://twitter.com/pmlebrun/status/572803780753952769,Tue Jul 07 15:48:59 +0000 2009,pmlebrun,False,,8025,384,750,6,"Toronto, Ontario, Canada",Paula LeBrun,pmlebrun,13852,Eastern Time (US & Canada),,False
,Tue Mar 03 16:59:23 +0000 2015,,,,0,572803468974534656,gccaedits,564811475819446273,2613454796,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@gccaedits @PatOndabak 

Dirty tricks...

Same old, same old

CPC - the integrity party (as in needing to get some)",https://twitter.com/DJOranguTrump/status/572803468974534656,Fri Jul 25 18:47:49 +0000 2014,DJOranguTrump,False,#Weed #Atheist #Nogods  #NoSpammers #No_N_Word  #IncorrigibleSmartass #HornyButHarmless #BLOCKED by @realdonaldtrump for being too much like him,21386,1000,1034,19,OranguBankTrumpcy Court,Donald J Orangutrump,DJOranguTrump,10545,Atlantic Time (Canada),,False
,Tue Mar 03 16:50:22 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,0,572801199948357633,,,,en,,False,8,572800298953011200,PatOndabak,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PatOndabak: Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gcc…",https://twitter.com/antiharper101/status/572801199948357633,Sat Jun 04 13:31:12 +0000 2011,antiharper101,False,"#strengthinnumbers #freepalestine #freesyria #stopharper #opcannabis ,we are legion ,prochoice, its not my body. DE DOIY i fix things",855,1263,637,73,everywhere,4N0Nym0u5,antiharper101,65590,Atlantic Time (Canada),,False
,Tue Mar 03 16:49:45 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,0,572801042896826368,,,,en,,True,8,572800298953011200,PatOndabak,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PatOndabak: Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gcc…",https://twitter.com/Beari8it/status/572801042896826368,Mon Mar 28 12:39:57 +0000 2011,Beari8it,False,"favorite foods in the great forest include wild salmon, blueberries, honey - read posts entirely at your own risk",16907,4688,4734,183,Turtle Island ,Beari8it,Beari8it,186279,Arizona,,False
,Tue Mar 03 16:47:05 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,0,572800373829713920,,,,en,,False,8,572800298953011200,PatOndabak,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PatOndabak: Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gcc…",https://twitter.com/UncleRee1/status/572800373829713920,Sat Dec 28 18:50:25 +0000 2013,UncleRee1,False,"ReTweets are not endorsements, but they may bear commentary...",6214,1115,1065,42,Lethbridge AB,Andy,UncleRee1,54966,Mountain Time (US & Canada),,False
,Tue Mar 03 16:47:02 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,0,572800360236113920,,,,en,,False,8,572800298953011200,PatOndabak,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PatOndabak: Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gcc…",https://twitter.com/J0ann3/status/572800360236113920,Thu Oct 09 15:50:54 +0000 2008,J0ann3,False,"pro freedom, honesty and transparency...  ABC",5046,514,525,27,Canada,Dragon Jo,J0ann3,13606,,,False
,Tue Mar 03 16:46:48 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=645495235&oldid=644145359,7,572800298953011200,,,,en,,False,8,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Strange, I don't see the wikipedia edit that shows where the Crime Minister hid in a closet...  http://t.co/VlEixy74jZ #gccaedits #cdnpoli",https://twitter.com/PatOndabak/status/572800298953011200,Tue May 14 12:42:51 +0000 2013,PatOndabak,False,Your character is who you are if you can get away with something.  Question everything. Especially anything coming from the CPC.,43489,11136,2408,103,"Not in Harper's Closet, BC ",PatRiotchick,PatOndabak,150760,Pacific Time (US & Canada),,False
,Tue Mar 03 16:45:49 +0000 2015,,,,0,572800053393285121,,,,en,,,1,570996789500715008,ggatin,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @ggatin: @gccaedits Someone in govt is carefully watching over the cover story.,https://twitter.com/PatOndabak/status/572800053393285121,Tue May 14 12:42:51 +0000 2013,PatOndabak,False,Your character is who you are if you can get away with something.  Question everything. Especially anything coming from the CPC.,43489,11136,2408,103,"Not in Harper's Closet, BC ",PatRiotchick,PatOndabak,150760,Pacific Time (US & Canada),,False
,Tue Mar 03 16:39:36 +0000 2015,gccaedits cdnpoli,,http://en.wikipedia.org/w/index.php?diff=647893578&oldid=641220747,1,572798490721452033,,,,en,,False,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Gee, we can't have Venezuelan terrorists on record now, can we? Only Muslims right Steve?  http://t.co/eckpnkEd6N #gccaedits #cdnpoli",https://twitter.com/PatOndabak/status/572798490721452033,Tue May 14 12:42:51 +0000 2013,PatOndabak,False,Your character is who you are if you can get away with something.  Question everything. Especially anything coming from the CPC.,43489,11136,2408,103,"Not in Harper's Closet, BC ",PatRiotchick,PatOndabak,150760,Pacific Time (US & Canada),,False
,Tue Mar 03 16:30:59 +0000 2015,GummyBaird,,,0,572796320651427840,gccaedits,571057283700015104,2613454796,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@gccaedits I swear it wasn't me!! #GummyBaird,https://twitter.com/PatOndabak/status/572796320651427840,Tue May 14 12:42:51 +0000 2013,PatOndabak,False,Your character is who you are if you can get away with something.  Question everything. Especially anything coming from the CPC.,43489,11136,2408,103,"Not in Harper's Closet, BC ",PatRiotchick,PatOndabak,150760,Pacific Time (US & Canada),,False
,Tue Mar 03 15:41:25 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649698850&oldid=614020449,0,572783848452276224,,,,en,,False,0,,,"<a href=""http://tweetli.st/"" rel=""nofollow"">TweetList Pro</a>",?? RT @gccaedits: Bert Fegg's Nasty Book for Boys and Girls Wikipedia article edited anonymously from Industry Canada http://t.co/S4dSXYs19Y,https://twitter.com/beentsy/status/572783848452276224,Sun Feb 22 00:38:08 +0000 2009,beentsy,False,"I read too much, buy too many books,  knit and collect *way* too much yarn. S'okay.",1428,144,100,16,BC,beentsy,beentsy,52846,Pacific Time (US & Canada),,False
,Tue Mar 03 15:36:30 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649698850&oldid=614020449,0,572782607831846912,,,,en,,False,3,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Bert Fegg's Nasty Book for Boys and Girls Wikipedia article edited anonymously from Industry Canada http://t.co/x501LAmUvG,https://twitter.com/gccaedits/status/572782607831846912,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 14:48:56 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649693413&oldid=649693367,1,572770638978555904,,,,en,,False,1,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Zangger Committee Wikipedia article edited anonymously from Shared Services Canada http://t.co/xJMz1GmMdf,https://twitter.com/gccaedits/status/572770638978555904,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 14:48:30 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649693367&oldid=571396384,0,572770528357974016,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Zangger Committee Wikipedia article edited anonymously from Shared Services Canada http://t.co/hYY1JY40mn,https://twitter.com/gccaedits/status/572770528357974016,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 13:43:35 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649686412&oldid=618638769,0,572754194710593536,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Talk:Sunlight Wikipedia article edited anonymously from Environment Canada http://t.co/A9Htn9taPA,https://twitter.com/gccaedits/status/572754194710593536,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Tue Mar 03 13:41:20 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649686191&oldid=649572316,0,572753625396719616,,,,en,,False,1,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Colt Canada C7 rifle Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/xrnXKKJMTU,https://twitter.com/gccaedits/status/572753625396719616,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Mar 02 22:37:37 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649601659&oldid=623350132,0,572526198133280768,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",429 Transport Squadron Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/mqbg8D6xsU,https://twitter.com/gccaedits/status/572526198133280768,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Mar 02 19:08:51 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649572501&oldid=649572260,0,572473662386905088,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",15th Field Artillery Regiment (Cana Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/HDug33smU1,https://twitter.com/gccaedits/status/572473662386905088,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Mar 02 19:07:17 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649572260&oldid=649459773,0,572473265735802880,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",15th Field Artillery Regiment (Cana Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/f2rYITwtpf,https://twitter.com/gccaedits/status/572473265735802880,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6179,73,149,Canada,Gov. of Canada edits,gccaedits,2056,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
